url,район Соколиная гора/УИК №1242,УИК №1242,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774015006&tvd=4774015113130&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774015113130,2297,2000,786,32,1182,32,785,14,803,17,20,90,22,238,416
url,район Ново-Переделкино/УИК №2677,УИК №2677,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774024011&tvd=4774024111678&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774024111678,2287,1800,594,11,1195,11,594,22,583,15,12,41,9,95,411
url,район Северное Измайлово/УИК №1228,УИК №1228,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774014019&tvd=4774014110823&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774014110823,1718,1370,524,30,816,30,523,7,546,9,13,71,24,151,278
url,район Северное Измайлово/УИК №1215,УИК №1215,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774014006&tvd=4774014110810&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774014110810,2306,1830,755,14,1061,14,753,5,762,25,13,110,36,215,363
url,район Крылатское/УИК №2590,УИК №2590,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774019023&tvd=4774019107687&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774019107687,1385,1200,423,13,764,13,423,6,430,16,17,42,22,175,158
url,Войковский район/УИК №239,УИК №239,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774041001&tvd=4774041104200&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774041104200,2275,2000,746,42,1212,42,745,8,779,22,51,80,24,215,387
url,район Очаково-Матвеевское/УИК №2703,УИК №2703,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774025001&tvd=4774025113921&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774025113921,795,750,287,213,250,213,287,17,483,6,5,14,8,45,405
url,район Беговой /УИК №207,УИК №207,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774038001&tvd=477403896428&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=477403896428,2500,2300,858,29,1413,29,858,7,880,19,14,124,25,310,388
url,район Марьина Роща/УИК №653,УИК №653,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774062001&tvd=4774062105306&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774062105306,2037,2000,735,53,1212,53,732,6,779,10,20,99,36,249,365
url,район Метрогородок /УИК №1086,УИК №1086,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774008007&tvd=4774008102022&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774008102022,1966,1400,529,59,812,59,529,13,575,19,9,66,14,150,317
url,район Крылатское/УИК №2587,УИК №2587,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774019020&tvd=4774019107684&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774019107684,2504,2300,862,23,1415,23,862,13,872,16,21,91,20,325,399
url,район Дорогомилово/УИК №2559,УИК №2559,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774018012&tvd=4774018107156&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774018107156,2385,1890,818,31,1041,31,811,5,837,14,28,100,38,324,333
url,район Очаково-Матвеевское/УИК №2727,УИК №2727,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774025025&tvd=4774025113945&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774025113945,2517,2300,649,28,1623,28,648,12,664,21,17,70,21,169,366
url,район Проспект Вернадского/УИК №2749,УИК №2749,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774026016&tvd=4774026102708&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774026102708,1396,1200,407,30,763,30,407,9,428,8,12,42,17,159,190
url,район Северное Измайлово/УИК №1226,УИК №1226,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774014017&tvd=4774014110821&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774014110821,2215,1760,744,40,976,40,744,6,778,19,21,83,42,261,352
url,район Зюзино/УИК №2172,УИК №2172,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774103001&tvd=4774103119427&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774103119427,2218,1800,622,31,1147,31,622,7,646,32,19,72,23,161,339
url,район Лианозово/УИК №599,УИК №599,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774059001&tvd=4774059109962&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774059109962,2107,1700,555,3,1142,3,555,6,552,24,16,46,11,177,278
url,район Братеево/УИК №1718,УИК №1718,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774115001&tvd=4774115108531&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774115108531,2235,1800,734,35,1031,35,729,13,751,22,16,64,22,191,436
url,Лосиноостровский район/УИК №622,УИК №622,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774060001&tvd=4774060108985&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774060108985,2588,1850,896,15,939,15,895,18,892,33,21,69,46,271,452
url,район Косино-Ухтомский /УИК №1077,УИК №1077,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774007018&tvd=4774007103119&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774007103119,1829,1600,603,10,987,10,603,4,609,17,14,53,13,131,381
url,район Бирюлево Восточное/УИК №1655,УИК №1655,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774113001&tvd=4774113128414&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774113128414,833,650,225,3,422,3,225,2,226,8,6,16,30,68,98
url,район Черемушки/УИК №2386,УИК №2386,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774110001&tvd=4774110105995&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774110105995,2660,2000,756,53,1191,53,756,16,793,23,32,74,32,228,404
url,район Косино-Ухтомский /УИК №1070,УИК №1070,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774007011&tvd=4774007103112&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774007103112,1898,1700,515,18,1167,18,514,4,528,15,17,42,8,117,329
url,район Косино-Ухтомский /УИК №1068,УИК №1068,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774007009&tvd=4774007103110&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774007103110,2313,2000,740,12,1249,12,739,18,733,32,21,51,19,187,423
url,Даниловский район/УИК №1744,УИК №1744,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774116001&tvd=4774116111451&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774116111451,2105,2000,698,20,1282,20,697,6,711,20,16,83,26,224,342
url,Донской район/УИК №1771,УИК №1771,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774117001&tvd=4774117100815&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774117100815,1619,1400,581,19,800,19,576,8,587,9,8,75,34,238,223
url,район Москворечье-Сабурово/УИК №1820,УИК №1820,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774120001&tvd=4774120108398&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774120108398,2497,2200,787,78,1335,78,787,21,844,21,33,91,31,236,432
url,район Метрогородок /УИК №3675,УИК №3675,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774008017&tvd=4774008102154&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774008102154,17,17,13,4,0,4,13,0,17,1,0,2,1,2,11
url,район Перово/УИК №1182,УИК №1182,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774011033&tvd=4774011125812&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774011125812,2386,2100,727,40,1333,40,727,13,754,21,32,70,34,218,379
url,район Орехово-Борисово Южное/УИК №1949,УИК №1949,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774125001&tvd=4774125124405&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774125124405,2646,2500,791,22,1687,22,790,10,802,27,26,91,21,254,383
url,район Перово/УИК №1165,УИК №1165,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774011016&tvd=4774011125795&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774011125795,192,190,42,3,145,3,42,1,44,2,1,6,0,11,24
url,район Перово/УИК №1170,УИК №1170,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774011021&tvd=4774011125800&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774011125800,2153,2100,593,18,1489,18,592,10,600,19,21,62,21,201,276
url,район Перово/УИК №1167,УИК №1167,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774011018&tvd=4774011125797&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774011125797,2013,2000,597,18,1385,18,597,11,604,37,24,70,31,140,302
url,район Перово/УИК №1168,УИК №1168,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774011019&tvd=4774011125798&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774011125798,2045,2000,592,26,1382,26,592,14,604,24,16,68,21,153,322
url,район Перово/УИК №1166,УИК №1166,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774011017&tvd=4774011125796&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774011125796,2009,2000,567,23,1410,23,566,9,580,18,31,74,15,161,281
url,район Перово/УИК №1160,УИК №1160,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774011011&tvd=4774011125790&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774011125790,2293,2100,798,25,1277,25,797,12,810,19,25,105,22,262,377
url,район Перово/УИК №1162,УИК №1162,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774011013&tvd=4774011125792&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774011125792,2034,2000,569,35,1396,35,569,7,597,30,27,61,7,132,340
url,район Перово/УИК №1164,УИК №1164,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774011015&tvd=4774011125794&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774011125794,2222,2100,605,26,1469,26,601,4,623,27,33,65,30,173,295
url,район Перово/УИК №1163,УИК №1163,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774011014&tvd=4774011125793&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774011125793,2032,2000,611,33,1356,33,611,12,632,24,34,65,24,201,284
url,район Соколиная гора/УИК №1240,УИК №1240,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774015004&tvd=4774015113128&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774015113128,2445,2300,774,29,1497,29,774,11,792,22,15,76,36,256,387
url,район Восточное Измайлово /УИК №921,УИК №921,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774003004&tvd=4774003109788&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774003109788,1669,1200,483,68,649,68,482,7,543,22,16,79,22,122,282
url,район Восточное Измайлово /УИК №929,УИК №929,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774003012&tvd=4774003109796&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774003109796,2036,1500,618,36,846,36,617,7,646,19,20,78,32,188,309
url,район Измайлово /УИК №1041,УИК №1041,http://www.moscow_city.vybory.izbirkom.ru/region/moscow_city?action=show&root=774006016&tvd=4774006116199&vrn=27720001368289&prver=0&pronetvd=null&region=77&sub_region=77&type=234&vibid=4774006116199,2188,2150,670,18,1462,18,667,5,680,23,29,71,30,208,319
